,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
31,140,81,232,130,278,19,0,1,6,13.97,57.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/31.onnx,TA,2,2,2395.734049320221,1550000,1e-05,20,0.1,15,True,31
32,140,91,267,152,261,16,0,1,26,14.98,58.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/32.onnx,TA,2,2,2480.364056110382,1600000,1e-05,20,0.1,15,True,32
33,132,45,209,56,278,13,0,1,19,11.99,70.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/33.onnx,TA,2,2,2563.8405933380127,1650000,1e-05,20,0.1,15,True,33
34,140,96,252,164,340,22,0,1,9,14.99,82.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/34.onnx,TA,2,2,2661.7901940345764,1700000,1e-05,20,0.1,15,True,34
35,69,45,89,56,230,21,0,1,6,23.62,32.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/35.onnx,TA,2,2,2743.0607330799103,1750000,1e-05,20,0.1,15,True,35
36,126,58,195,79,331,67,0,1,6,11.95,46.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/36.onnx,TA,2,2,2820.726581096649,1800000,1e-05,20,0.1,15,True,36
37,132,48,203,61,278,15,0,1,15,10.99,49.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/37.onnx,TA,2,2,2898.4500546455383,1850000,1e-05,20,0.1,15,True,37
38,68,45,96,56,203,21,0,1,13,23.62,19.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/38.onnx,TA,2,2,2985.3683965206146,1900000,1e-05,20,0.1,15,True,38
39,140,62,241,88,288,18,0,1,23,12.98,56.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/39.onnx,TA,2,2,3070.5855164527893,1950000,1e-05,20,0.1,15,True,39
40,138,95,259,163,345,104,0,1,6,20.95,59.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/40.onnx,TA,2,2,3150.5334124565125,2000000,1e-05,20,0.1,15,True,40
41,120,47,178,59,249,14,0,1,9,10.09,49.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/41.onnx,TA,2,2,3236.125128030777,2050000,1e-05,20,0.1,15,True,41
42,118,45,178,56,317,15,0,1,13,9.12,58.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/42.onnx,TA,2,2,3312.4424436092377,2100000,1e-05,20,0.1,15,True,42
43,103,50,157,66,298,21,0,1,8,28.66,46.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/43.onnx,TA,2,2,3396.3236989974976,2150000,1e-05,20,0.1,15,True,43
44,140,69,229,100,356,75,0,1,10,15.98,55.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/44.onnx,TA,2,2,3474.812780857086,2200000,1e-05,20,0.1,15,True,44
45,140,66,225,97,361,81,0,1,6,14.98,61.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/45.onnx,TA,2,2,3551.295048236847,2250000,1e-05,20,0.1,15,True,45
46,125,71,192,105,295,61,0,1,6,11.94,56.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/46.onnx,TA,2,2,3629.5482099056244,2300000,1e-05,20,0.1,15,True,46
47,140,69,240,99,289,92,0,1,12,15.98,45.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/47.onnx,TA,2,2,3720.83406662941,2350000,1e-05,20,0.1,15,True,47
48,140,97,266,168,279,15,0,1,27,12.99,62.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/48.onnx,TA,2,2,3797.4213366508484,2400000,1e-05,20,0.1,15,True,48
49,87,45,140,56,287,42,0,1,18,27.7,39.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/49.onnx,TA,2,2,3879.5179286003113,2450000,1e-05,20,0.1,15,True,49
50,140,50,234,65,265,18,0,1,10,12.97,51.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/50.onnx,TA,2,2,3965.100319623947,2500000,1e-05,20,0.1,15,True,50
51,140,48,238,61,340,17,0,1,11,12.97,73.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/51.onnx,TA,2,2,4052.876673936844,2550000,1e-05,20,0.1,15,True,51
52,118,53,190,70,275,59,0,1,4,11.94,30.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/52.onnx,TA,2,2,4151.990507364273,2600000,1e-05,20,0.1,15,True,52
53,132,49,187,62,255,40,0,1,7,11.08,40.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/53.onnx,TA,2,2,4233.921018838882,2650000,1e-05,20,0.1,15,True,53
54,140,53,213,71,277,19,0,1,8,12.97,54.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/54.onnx,TA,2,2,4316.052810430527,2700000,1e-05,20,0.1,15,True,54
55,140,76,262,121,340,18,0,1,25,13.97,76.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/55.onnx,TA,2,2,4405.8738968372345,2750000,1e-05,20,0.1,15,True,55
56,140,64,245,95,314,16,0,1,14,12.98,58.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/56.onnx,TA,2,2,4484.611209869385,2800000,1e-05,20,0.1,15,True,56
57,106,74,192,119,265,69,0,1,6,12.92,33.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/57.onnx,TA,2,2,4576.378462314606,2850000,1e-05,20,0.1,15,True,57
58,140,45,229,56,307,18,0,1,16,12.98,65.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/58.onnx,TA,2,2,4656.756497859955,2900000,1e-05,20,0.1,15,True,58
59,140,63,226,91,299,71,0,1,16,16.01,51.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/59.onnx,TA,2,2,4739.039608001709,2950000,1e-05,20,0.1,15,True,59
60,121,62,182,90,255,55,0,1,2,11.94,49.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/60.onnx,TA,2,2,4836.59118437767,3000000,1e-05,20,0.1,15,True,60
61,140,48,216,61,323,14,0,1,20,12.98,74.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/61.onnx,TA,2,2,4910.976794958115,3050000,1e-05,20,0.1,15,True,61
62,140,76,251,121,300,17,0,1,16,13.98,72.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/62.onnx,TA,2,2,4993.427076339722,3100000,1e-05,20,0.1,15,True,62
63,99,55,147,74,292,40,0,1,0,29.14,40.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/63.onnx,TA,2,2,5079.538772583008,3150000,1e-05,20,0.1,15,True,63
64,140,99,270,173,317,16,0,1,25,14.97,73.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/64.onnx,TA,2,2,5154.691811323166,3200000,1e-05,20,0.1,15,True,64
65,140,95,260,166,295,112,0,1,8,18.95,52.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/65.onnx,TA,2,2,5242.835973262787,3250000,1e-05,20,0.1,15,True,65
66,134,53,204,70,258,68,0,1,6,11.97,34.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/66.onnx,TA,2,2,5321.3276720047,3300000,1e-05,20,0.1,15,True,66
67,140,82,244,131,310,90,0,1,14,17.97,52.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/67.onnx,TA,2,2,5403.50825548172,3350000,1e-05,20,0.1,15,True,67
68,140,51,216,68,300,15,0,1,17,11.99,66.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/68.onnx,TA,2,2,5487.643802165985,3400000,1e-05,20,0.1,15,True,68
69,133,48,197,61,293,37,0,1,10,12.99,66.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/69.onnx,TA,2,2,5562.1431267261505,3450000,1e-05,20,0.1,15,True,69
70,121,55,173,74,314,43,0,1,4,9.97,60.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/70.onnx,TA,2,2,5638.551723003387,3500000,1e-05,20,0.1,15,True,70
71,139,54,201,74,277,57,0,1,7,12.96,56.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/71.onnx,TA,2,2,5721.0495636463165,3550000,1e-05,20,0.1,15,True,71
72,140,66,220,94,288,70,0,1,6,14.97,41.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/72.onnx,TA,2,2,5794.039378166199,3600000,1e-05,20,0.1,15,True,72
73,139,60,223,85,325,62,0,1,25,13.01,70.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/73.onnx,TA,2,2,5884.073963880539,3650000,1e-05,20,0.1,15,True,73
74,140,56,217,77,258,26,0,1,9,13.98,50.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/74.onnx,TA,2,2,5959.03697347641,3700000,1e-05,20,0.1,15,True,74
75,113,60,186,85,333,56,0,1,5,11.0,51.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/75.onnx,TA,2,2,6033.902689933777,3750000,1e-05,20,0.1,15,True,75
76,140,48,205,61,338,53,0,1,13,13.0,57.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/76.onnx,TA,2,2,6108.737972021103,3800000,1e-05,20,0.1,15,True,76
77,140,63,223,88,357,58,0,1,20,12.96,61.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/77.onnx,TA,2,2,6198.997901439667,3850000,1e-05,20,0.1,15,True,77
