,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,context features,idx
0,201,92,355,160,296,67,0,1,40,31.72,78.0,new,experiments/results/DP_2_2/5mill_C/0.onnx,DP,2,3,3.3356308937072754,0,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,0
1,221,50,383,74,336,55,1,12,73,51.72,115.0,new,experiments/results/DP_2_2/5mill_C/1.onnx,DP,2,3,107.6369276046753,50000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,1
2,230,130,402,212,425,61,0,24,52,74.67,167.0,new,experiments/results/DP_2_2/5mill_C/2.onnx,DP,2,3,214.5700056552887,100000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,2
3,230,70,363,97,473,52,1,1,21,77.66,196.0,new,experiments/results/DP_2_2/5mill_C/3.onnx,DP,2,3,322.76665210723877,150000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,3
4,230,57,348,83,406,53,1,1,14,64.71,154.0,new,experiments/results/DP_2_2/5mill_C/4.onnx,DP,2,3,428.2564470767975,200000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,4
5,148,31,202,40,301,25,0,1,3,18.69,107.0,new,experiments/results/DP_2_2/5mill_C/5.onnx,DP,2,3,530.7851479053497,250000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,5
6,140,31,212,40,241,21,0,1,6,11.72,63.0,new,experiments/results/DP_2_2/5mill_C/6.onnx,DP,2,3,630.4776127338409,300000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,6
7,138,31,209,40,293,16,2,1,7,8.74,68.0,new,experiments/results/DP_2_2/5mill_C/7.onnx,DP,2,3,729.722204208374,350000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,7
8,64,27,72,31,201,5,2,1,0,21.62,47.0,new,experiments/results/DP_2_2/5mill_C/8.onnx,DP,2,3,829.0876321792603,400000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,8
9,79,31,99,40,196,5,0,1,0,24.66,58.0,new,experiments/results/DP_2_2/5mill_C/9.onnx,DP,2,3,928.7046585083008,450000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,9
10,70,27,94,31,220,5,0,1,2,22.18,37.0,new,experiments/results/DP_2_2/5mill_C/10.onnx,DP,2,3,1027.7767007350922,500000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,10
11,225,50,391,74,374,56,2,1,48,43.74,108.0,new,experiments/results/DP_2_2/5mill_C/11.onnx,DP,2,3,1128.036137342453,550000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,11
12,178,35,269,48,318,28,0,1,18,24.71,99.0,new,experiments/results/DP_2_2/5mill_C/12.onnx,DP,2,3,1230.3826913833618,600000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,12
13,93,40,142,58,261,15,0,1,5,26.18,60.0,new,experiments/results/DP_2_2/5mill_C/13.onnx,DP,2,3,1332.525444984436,650000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,13
14,147,40,229,58,290,21,0,1,15,13.73,83.0,new,experiments/results/DP_2_2/5mill_C/14.onnx,DP,2,3,1433.0993547439575,700000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,14
15,90,35,128,47,219,12,0,1,6,24.66,44.0,new,experiments/results/DP_2_2/5mill_C/15.onnx,DP,2,3,1532.8946468830109,750000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,15
16,91,46,139,72,248,24,0,1,7,25.62,56.0,new,experiments/results/DP_2_2/5mill_C/16.onnx,DP,2,3,1632.7712440490723,800000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,16
17,84,35,119,47,231,16,0,1,5,25.14,52.0,new,experiments/results/DP_2_2/5mill_C/17.onnx,DP,2,3,1733.8201549053192,850000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,17
18,91,35,129,48,236,17,0,1,7,25.62,59.0,new,experiments/results/DP_2_2/5mill_C/18.onnx,DP,2,3,1837.1449797153473,900000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,18
19,82,46,130,71,226,22,0,1,8,26.66,53.0,new,experiments/results/DP_2_2/5mill_C/19.onnx,DP,2,3,1944.095936536789,950000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,19
20,97,31,143,40,258,14,0,1,10,26.18,62.0,new,experiments/results/DP_2_2/5mill_C/20.onnx,DP,2,3,2048.4652860164642,1000000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,20
21,90,46,140,71,209,20,0,1,6,27.14,45.0,new,experiments/results/DP_2_2/5mill_C/21.onnx,DP,2,3,2152.719897031784,1050000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,21
22,94,31,130,39,207,17,0,1,7,26.18,42.0,new,experiments/results/DP_2_2/5mill_C/22.onnx,DP,2,3,2257.931475877762,1100000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,22
23,90,43,140,60,247,25,0,1,13,26.66,47.0,new,experiments/results/DP_2_2/5mill_C/23.onnx,DP,2,3,2364.4285786151886,1150000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,23
24,101,35,151,47,250,21,0,1,12,26.66,60.0,new,experiments/results/DP_2_2/5mill_C/24.onnx,DP,2,3,2471.9093811511993,1200000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,24
25,93,40,142,58,251,29,0,1,6,27.62,53.0,new,experiments/results/DP_2_2/5mill_C/25.onnx,DP,2,3,2584.8376185894012,1250000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,25
26,105,51,171,82,273,23,0,1,13,29.62,68.0,new,experiments/results/DP_2_2/5mill_C/26.onnx,DP,2,3,2704.030558347702,1300000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,26
27,55,27,68,31,199,8,0,1,5,20.66,35.0,new,experiments/results/DP_2_2/5mill_C/27.onnx,DP,2,3,2834.805776834488,1350000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,27
28,42,27,52,31,199,4,0,1,0,19.14,35.0,new,experiments/results/DP_2_2/5mill_C/28.onnx,DP,2,3,2966.0270326137543,1400000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,28
29,53,27,62,31,192,6,0,1,2,20.18,36.0,new,experiments/results/DP_2_2/5mill_C/29.onnx,DP,2,3,3065.46670627594,1450000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,29
30,32,27,37,31,166,4,0,1,0,18.18,27.0,new,experiments/results/DP_2_2/5mill_C/30.onnx,DP,2,3,3163.9464526176453,1500000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,30
31,74,36,101,49,189,3,0,1,7,21.62,34.0,new,experiments/results/DP_2_2/5mill_C/31.onnx,DP,2,3,3262.3125636577606,1550000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,31
32,50,27,64,31,201,4,0,1,8,19.62,35.0,new,experiments/results/DP_2_2/5mill_C/32.onnx,DP,2,3,3361.0536234378815,1600000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,32
33,33,27,39,31,198,5,0,1,1,18.18,27.0,new,experiments/results/DP_2_2/5mill_C/33.onnx,DP,2,3,3459.1620111465454,1650000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,33
34,44,31,56,39,189,8,0,1,1,20.18,42.0,new,experiments/results/DP_2_2/5mill_C/34.onnx,DP,2,3,3557.9432055950165,1700000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,34
35,96,36,138,50,227,6,0,1,11,24.66,57.0,new,experiments/results/DP_2_2/5mill_C/35.onnx,DP,2,3,3657.54732131958,1750000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,35
36,72,31,99,39,214,6,0,1,10,21.62,32.0,new,experiments/results/DP_2_2/5mill_C/36.onnx,DP,2,3,3756.581647157669,1800000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,36
37,169,69,268,110,353,39,0,1,15,23.71,95.0,new,experiments/results/DP_2_2/5mill_C/37.onnx,DP,2,3,3857.218747138977,1850000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,37
38,103,46,162,71,276,23,0,1,9,8.73,75.0,new,experiments/results/DP_2_2/5mill_C/38.onnx,DP,2,3,3958.097023963928,1900000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,38
39,97,35,153,48,253,22,0,1,9,28.18,70.0,new,experiments/results/DP_2_2/5mill_C/39.onnx,DP,2,3,4059.0665442943573,1950000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,39
40,148,40,224,58,325,32,1,1,6,15.72,99.0,new,experiments/results/DP_2_2/5mill_C/40.onnx,DP,2,3,4160.830249786377,2000000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,40
41,91,36,136,50,205,16,0,1,4,25.14,45.0,new,experiments/results/DP_2_2/5mill_C/41.onnx,DP,2,3,4261.73312497139,2050000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,41
42,108,40,160,57,262,22,0,1,5,27.14,55.0,new,experiments/results/DP_2_2/5mill_C/42.onnx,DP,2,3,4362.458238840103,2100000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,42
43,82,35,122,47,227,15,0,1,4,23.62,48.0,new,experiments/results/DP_2_2/5mill_C/43.onnx,DP,2,3,4462.696762800217,2150000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,43
44,102,35,147,47,208,17,1,1,7,25.7,41.0,new,experiments/results/DP_2_2/5mill_C/44.onnx,DP,2,3,4563.453783273697,2200000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,44
45,94,35,146,47,215,19,0,1,7,27.62,49.0,new,experiments/results/DP_2_2/5mill_C/45.onnx,DP,2,3,4666.370210170746,2250000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,45
46,59,31,84,39,216,17,0,1,1,23.62,52.0,new,experiments/results/DP_2_2/5mill_C/46.onnx,DP,2,3,4771.203416585922,2300000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,46
47,85,43,123,60,228,20,0,1,7,24.66,43.0,new,experiments/results/DP_2_2/5mill_C/47.onnx,DP,2,3,4874.819607496262,2350000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,47
48,53,31,74,39,179,13,0,1,5,20.18,33.0,new,experiments/results/DP_2_2/5mill_C/48.onnx,DP,2,3,4980.476897239685,2400000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,48
49,75,27,102,31,245,11,0,1,12,22.18,49.0,new,experiments/results/DP_2_2/5mill_C/49.onnx,DP,2,3,5088.627073049545,2450000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,49
50,68,27,92,31,207,10,0,1,5,22.18,41.0,new,experiments/results/DP_2_2/5mill_C/50.onnx,DP,2,3,5199.511387348175,2500000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,50
51,77,27,104,31,220,10,0,1,8,23.14,45.0,new,experiments/results/DP_2_2/5mill_C/51.onnx,DP,2,3,5315.516607761383,2550000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,51
52,70,27,103,31,219,16,0,1,15,22.18,39.0,new,experiments/results/DP_2_2/5mill_C/52.onnx,DP,2,3,5446.866510152817,2600000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,52
53,52,31,74,39,190,17,0,1,0,22.18,42.0,new,experiments/results/DP_2_2/5mill_C/53.onnx,DP,2,3,5575.34339427948,2650000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,53
54,65,27,87,31,182,12,0,1,8,21.14,30.0,new,experiments/results/DP_2_2/5mill_C/54.onnx,DP,2,3,5684.542671442032,2700000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,54
55,72,31,96,39,241,12,0,1,7,22.66,41.0,new,experiments/results/DP_2_2/5mill_C/55.onnx,DP,2,3,5797.034693956375,2750000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,55
56,65,27,81,31,189,10,0,1,5,21.62,33.0,new,experiments/results/DP_2_2/5mill_C/56.onnx,DP,2,3,5912.920530557632,2800000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,56
57,52,31,71,39,180,15,0,1,0,20.66,36.0,new,experiments/results/DP_2_2/5mill_C/57.onnx,DP,2,3,6051.5240886211395,2850000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,57
58,68,31,93,39,215,10,0,1,8,22.66,45.0,new,experiments/results/DP_2_2/5mill_C/58.onnx,DP,2,3,6155.14479804039,2900000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,58
59,78,31,106,40,196,10,0,1,16,23.14,39.0,new,experiments/results/DP_2_2/5mill_C/59.onnx,DP,2,3,6257.862165927887,2950000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,59
60,101,35,148,47,214,21,0,1,13,26.66,47.0,new,experiments/results/DP_2_2/5mill_C/60.onnx,DP,2,3,6362.982910394669,3000000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,60
