,expanded transitions,synthesis time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
0,,,new,experiments/results/CM_2_2/ra_feature_2h/0.onnx,CM,3,3,205.59269165992737,50000,1e-05,20,0.1,14,True,0
1,,,new,experiments/results/CM_2_2/ra_feature_2h/5.onnx,CM,3,3,1131.559984922409,300000,1e-05,20,0.1,14,True,5
2,,,new,experiments/results/CM_2_2/ra_feature_2h/10.onnx,CM,3,3,1750.9055230617523,550000,1e-05,20,0.1,14,True,10
3,,,new,experiments/results/CM_2_2/ra_feature_2h/15.onnx,CM,3,3,2290.5538976192474,800000,1e-05,20,0.1,14,True,15
4,,,new,experiments/results/CM_2_2/ra_feature_2h/20.onnx,CM,3,3,2831.3244190216064,1050000,1e-05,20,0.1,14,True,20
5,,,new,experiments/results/CM_2_2/ra_feature_2h/25.onnx,CM,3,3,3342.371207714081,1300000,1e-05,20,0.1,14,True,25
6,,,new,experiments/results/CM_2_2/ra_feature_2h/30.onnx,CM,3,3,3831.969289302826,1550000,1e-05,20,0.1,14,True,30
7,,,new,experiments/results/CM_2_2/ra_feature_2h/35.onnx,CM,3,3,4322.526676654816,1800000,1e-05,20,0.1,14,True,35
8,,,new,experiments/results/CM_2_2/ra_feature_2h/40.onnx,CM,3,3,4822.149072885513,2050000,1e-05,20,0.1,14,True,40
9,,,new,experiments/results/CM_2_2/ra_feature_2h/45.onnx,CM,3,3,5337.76841211319,2300000,1e-05,20,0.1,14,True,45
10,,,new,experiments/results/CM_2_2/ra_feature_2h/50.onnx,CM,3,3,5850.888604879379,2550000,1e-05,20,0.1,14,True,50
11,,,new,experiments/results/CM_2_2/ra_feature_2h/55.onnx,CM,3,3,6355.46181845665,2800000,1e-05,20,0.1,14,True,55
12,,,new,experiments/results/CM_2_2/ra_feature_2h/60.onnx,CM,3,3,6859.387574195862,3050000,1e-05,20,0.1,14,True,60
