,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
32,41,18,61,29,160,15,0,1,17,18.18,13.0,new,experiments/results/BW_2_2/ra_feature2_2h/32.onnx,BW,2,2,2359.3108870983124,1600000,1e-05,20,0.1,17,True,32
33,47,15,72,20,189,17,0,1,22,18.67,20.0,new,experiments/results/BW_2_2/ra_feature2_2h/33.onnx,BW,2,2,2442.162786245346,1650000,1e-05,20,0.1,17,True,33
34,42,19,64,30,155,11,0,1,17,18.18,12.0,new,experiments/results/BW_2_2/ra_feature2_2h/34.onnx,BW,2,2,2519.078052997589,1700000,1e-05,20,0.1,17,True,34
35,37,15,55,20,157,15,0,2,13,17.62,13.0,new,experiments/results/BW_2_2/ra_feature2_2h/35.onnx,BW,2,2,2595.881555080414,1750000,1e-05,20,0.1,17,True,35
36,51,15,80,20,169,14,0,2,26,18.66,22.0,new,experiments/results/BW_2_2/ra_feature2_2h/36.onnx,BW,2,2,2682.1473891735077,1800000,1e-05,20,0.1,17,True,36
37,30,15,38,20,165,6,0,1,17,17.14,13.0,new,experiments/results/BW_2_2/ra_feature2_2h/37.onnx,BW,2,2,2758.880813598633,1850000,1e-05,20,0.1,17,True,37
38,39,15,55,20,177,14,0,2,11,18.18,17.0,new,experiments/results/BW_2_2/ra_feature2_2h/38.onnx,BW,2,2,2843.4194633960724,1900000,1e-05,20,0.1,17,True,38
39,29,15,38,20,145,8,0,1,13,17.14,12.0,new,experiments/results/BW_2_2/ra_feature2_2h/39.onnx,BW,2,2,2915.3229143619537,1950000,1e-05,20,0.1,17,True,39
40,47,15,76,20,159,21,0,1,20,18.66,21.0,new,experiments/results/BW_2_2/ra_feature2_2h/40.onnx,BW,2,2,3003.3741788864136,2000000,1e-05,20,0.1,17,True,40
41,16,15,23,20,157,6,0,1,3,16.66,13.0,new,experiments/results/BW_2_2/ra_feature2_2h/41.onnx,BW,2,2,3084.980060815811,2050000,1e-05,20,0.1,17,True,41
42,42,15,67,20,158,12,0,1,13,18.18,17.0,new,experiments/results/BW_2_2/ra_feature2_2h/42.onnx,BW,2,2,3159.083370923996,2100000,1e-05,20,0.1,17,True,42
43,43,15,60,20,157,2,0,1,23,17.62,16.0,new,experiments/results/BW_2_2/ra_feature2_2h/43.onnx,BW,2,2,3228.1611518859863,2150000,1e-05,20,0.1,17,True,43
44,35,15,52,20,177,16,0,1,8,17.62,21.0,new,experiments/results/BW_2_2/ra_feature2_2h/44.onnx,BW,2,2,3296.990514278412,2200000,1e-05,20,0.1,17,True,44
45,31,15,44,20,147,10,0,2,10,17.14,15.0,new,experiments/results/BW_2_2/ra_feature2_2h/45.onnx,BW,2,2,3377.012850999832,2250000,1e-05,20,0.1,17,True,45
46,33,15,48,20,150,14,0,2,7,17.62,21.0,new,experiments/results/BW_2_2/ra_feature2_2h/46.onnx,BW,2,2,3462.4244992733,2300000,1e-05,20,0.1,17,True,46
47,34,15,51,20,183,15,0,2,9,17.62,24.0,new,experiments/results/BW_2_2/ra_feature2_2h/47.onnx,BW,2,2,3538.1719183921814,2350000,1e-05,20,0.1,17,True,47
48,40,23,58,32,151,10,0,2,11,17.7,21.0,new,experiments/results/BW_2_2/ra_feature2_2h/48.onnx,BW,2,2,3608.647986650467,2400000,1e-05,20,0.1,17,True,48
