,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,Exception
0,8.0,7.0,9.0,8.0,164.0,2.0,0.0,1.0,1.0,16.24,9.0,True,new,experiments/results/TL_2_2/rmsprop/3.onnx,TL,1,1,
1,8.0,7.0,10.0,8.0,145.0,2.0,0.0,1.0,0.0,18.72,9.0,True,new,experiments/results/TL_2_2/rmsprop/3.onnx,TL,1,2,
2,8.0,7.0,10.0,8.0,143.0,2.0,0.0,1.0,0.0,18.69,12.0,True,new,experiments/results/TL_2_2/rmsprop/3.onnx,TL,1,3,
3,8.0,7.0,10.0,8.0,143.0,2.0,0.0,1.0,0.0,18.72,9.0,True,new,experiments/results/TL_2_2/rmsprop/3.onnx,TL,1,4,
4,8.0,7.0,10.0,8.0,145.0,2.0,0.0,1.0,0.0,18.21,11.0,True,new,experiments/results/TL_2_2/rmsprop/3.onnx,TL,1,5,
5,8.0,7.0,10.0,8.0,162.0,2.0,0.0,1.0,0.0,18.69,12.0,True,new,experiments/results/TL_2_2/rmsprop/3.onnx,TL,1,6,
6,8.0,7.0,10.0,8.0,145.0,2.0,0.0,1.0,0.0,19.2,13.0,True,new,experiments/results/TL_2_2/rmsprop/3.onnx,TL,1,7,
7,8.0,7.0,10.0,8.0,144.0,2.0,0.0,1.0,0.0,19.17,11.0,True,new,experiments/results/TL_2_2/rmsprop/3.onnx,TL,1,8,
8,8.0,7.0,10.0,8.0,146.0,2.0,0.0,1.0,0.0,18.69,11.0,True,new,experiments/results/TL_2_2/rmsprop/3.onnx,TL,1,9,
9,8.0,7.0,10.0,8.0,144.0,2.0,0.0,1.0,0.0,19.17,11.0,True,new,experiments/results/TL_2_2/rmsprop/3.onnx,TL,1,10,
10,8.0,7.0,10.0,8.0,144.0,2.0,0.0,1.0,0.0,19.17,10.0,True,new,experiments/results/TL_2_2/rmsprop/3.onnx,TL,1,11,
11,8.0,7.0,10.0,8.0,144.0,2.0,0.0,1.0,0.0,18.69,11.0,True,new,experiments/results/TL_2_2/rmsprop/3.onnx,TL,1,12,
12,8.0,7.0,10.0,8.0,158.0,2.0,0.0,1.0,0.0,19.2,23.0,True,new,experiments/results/TL_2_2/rmsprop/3.onnx,TL,1,13,
