,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
29,921,221,1634,413,1265,315,6,7,262,11.42,509.0,new,experiments/results/CM_2_2/TB_5mill/29.onnx,CM,2,2,5676.268332958221,1450000,1e-05,20,0.1,15,True,10000,True,10000,True,29
30,517,221,839,413,677,114,5,3,184,118.43,233.0,new,experiments/results/CM_2_2/TB_5mill/30.onnx,CM,2,2,5806.165500879288,1500000,1e-05,20,0.1,15,True,10000,True,10000,True,30
31,747,221,1434,413,789,108,79,1,348,24.0,190.0,new,experiments/results/CM_2_2/TB_5mill/31.onnx,CM,2,2,5916.283879995346,1550000,1e-05,20,0.1,15,True,10000,True,10000,True,31
32,741,221,1360,413,814,111,20,6,405,17.85,278.0,new,experiments/results/CM_2_2/TB_5mill/32.onnx,CM,2,2,6020.601464509964,1600000,1e-05,20,0.1,15,True,10000,True,10000,True,32
33,1153,268,2262,494,1507,306,156,22,517,121.88,592.0,new,experiments/results/CM_2_2/TB_5mill/33.onnx,CM,2,2,6126.944621324539,1650000,1e-05,20,0.1,15,True,10000,True,10000,True,33
34,477,221,720,413,624,140,0,7,110,99.44,193.0,new,experiments/results/CM_2_2/TB_5mill/34.onnx,CM,2,2,6240.256011247635,1700000,1e-05,20,0.1,15,True,10000,True,10000,True,34
35,1074,243,2190,443,1389,350,17,1,473,78.73,423.0,new,experiments/results/CM_2_2/TB_5mill/35.onnx,CM,2,2,6419.9418687820435,1750000,1e-05,20,0.1,15,True,10000,True,10000,True,35
36,683,221,1202,413,692,107,9,26,335,139.44,239.0,new,experiments/results/CM_2_2/TB_5mill/36.onnx,CM,2,2,6527.056823015213,1800000,1e-05,20,0.1,15,True,10000,True,10000,True,36
37,585,221,989,413,761,128,18,1,255,142.43,242.0,new,experiments/results/CM_2_2/TB_5mill/37.onnx,CM,2,2,6629.3750212192535,1850000,1e-05,20,0.1,15,True,10000,True,10000,True,37
38,743,221,1230,413,878,121,15,45,304,103.62,381.0,new,experiments/results/CM_2_2/TB_5mill/38.onnx,CM,2,2,6744.7171766757965,1900000,1e-05,20,0.1,15,True,10000,True,10000,True,38
39,790,221,1424,413,1017,105,41,23,386,58.92,411.0,new,experiments/results/CM_2_2/TB_5mill/39.onnx,CM,2,2,6855.545663356781,1950000,1e-05,20,0.1,15,True,10000,True,10000,True,39
40,639,221,1234,413,710,120,80,1,285,23.7,271.0,new,experiments/results/CM_2_2/TB_5mill/40.onnx,CM,2,2,6990.614557981491,2000000,1e-05,20,0.1,15,True,10000,True,10000,True,40
41,675,221,1203,413,870,208,0,1,261,111.65,268.0,new,experiments/results/CM_2_2/TB_5mill/41.onnx,CM,2,2,7093.022472143173,2050000,1e-05,20,0.1,15,True,10000,True,10000,True,41
42,676,221,1154,413,971,268,2,5,135,117.5,321.0,new,experiments/results/CM_2_2/TB_5mill/42.onnx,CM,2,2,7203.283367156982,2100000,1e-05,20,0.1,15,True,10000,True,10000,True,42
43,856,221,1596,413,930,147,14,3,488,90.85,363.0,new,experiments/results/CM_2_2/TB_5mill/43.onnx,CM,2,2,7334.932160377502,2150000,1e-05,20,0.1,15,True,10000,True,10000,True,43
44,1092,221,1824,413,1619,202,55,28,365,126.84,906.0,new,experiments/results/CM_2_2/TB_5mill/44.onnx,CM,2,2,7443.527118444443,2200000,1e-05,20,0.1,15,True,10000,True,10000,True,44
45,1071,221,1969,413,1336,321,91,30,385,41.89,568.0,new,experiments/results/CM_2_2/TB_5mill/45.onnx,CM,2,2,7554.779976129532,2250000,1e-05,20,0.1,15,True,10000,True,10000,True,45
46,401,221,669,413,511,174,0,4,82,102.4,156.0,new,experiments/results/CM_2_2/TB_5mill/46.onnx,CM,2,2,7726.649302721024,2300000,1e-05,20,0.1,15,True,10000,True,10000,True,46
