,expanded transitions,synthesis time(ms),OutOfMem,Exception,algorithm,heuristic,problem,n,k,idx
0,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/0.onnx,DP,1,1,0
1,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/1.onnx,DP,1,1,1
2,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/2.onnx,DP,1,1,2
3,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/3.onnx,DP,1,1,3
4,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/4.onnx,DP,1,1,4
5,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/5.onnx,DP,1,1,5
6,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/6.onnx,DP,1,1,6
7,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/7.onnx,DP,1,1,7
8,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/8.onnx,DP,1,1,8
9,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/9.onnx,DP,1,1,9
10,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/10.onnx,DP,1,1,10
11,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/11.onnx,DP,1,1,11
12,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/12.onnx,DP,1,1,12
13,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/13.onnx,DP,1,1,13
14,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/14.onnx,DP,1,1,14
15,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/15.onnx,DP,1,1,15
16,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/16.onnx,DP,1,1,16
17,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/17.onnx,DP,1,1,17
18,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/18.onnx,DP,1,1,18
19,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/19.onnx,DP,1,1,19
20,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/20.onnx,DP,1,1,20
21,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/21.onnx,DP,1,1,21
22,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/22.onnx,DP,1,1,22
23,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/23.onnx,DP,1,1,23
24,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/24.onnx,DP,1,1,24
25,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/25.onnx,DP,1,1,25
26,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/26.onnx,DP,1,1,26
27,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/27.onnx,DP,1,1,27
28,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/28.onnx,DP,1,1,28
29,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/29.onnx,DP,1,1,29
30,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/30.onnx,DP,1,1,30
31,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/31.onnx,DP,1,1,31
32,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/32.onnx,DP,1,1,32
33,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/33.onnx,DP,1,1,33
34,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/34.onnx,DP,1,1,34
35,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/35.onnx,DP,1,1,35
36,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/36.onnx,DP,1,1,36
37,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/37.onnx,DP,1,1,37
38,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/38.onnx,DP,1,1,38
39,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/39.onnx,DP,1,1,39
40,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/40.onnx,DP,1,1,40
41,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/41.onnx,DP,1,1,41
42,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/42.onnx,DP,1,1,42
43,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/43.onnx,DP,1,1,43
44,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/45.onnx,DP,1,1,45
45,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/46.onnx,DP,1,1,46
46,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/48.onnx,DP,1,1,48
47,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/49.onnx,DP,1,1,49
48,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/50.onnx,DP,1,1,50
49,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/51.onnx,DP,1,1,51
50,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/52.onnx,DP,1,1,52
51,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/53.onnx,DP,1,1,53
52,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/54.onnx,DP,1,1,54
53,,,False,True,new,experiments/results/DP_2_2/pathLabelsSGDNoMomentum/55.onnx,DP,1,1,55
