,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
30,28,15,44,20,148,16,0,1,0,17.14,15.0,new,experiments/results/BW_2_2/TB_5mill/30.onnx,BW,2,2,2192.2458052635193,1500000,1e-05,20,0.1,15,True,10000,True,10000,True,30
31,31,19,58,30,148,25,0,1,0,17.62,9.0,new,experiments/results/BW_2_2/TB_5mill/31.onnx,BW,2,2,2264.2516026496887,1550000,1e-05,20,0.1,15,True,10000,True,10000,True,31
32,29,15,49,20,145,19,0,1,0,17.14,16.0,new,experiments/results/BW_2_2/TB_5mill/32.onnx,BW,2,2,2336.692487478256,1600000,1e-05,20,0.1,15,True,10000,True,10000,True,32
33,30,19,56,30,160,23,0,2,0,17.62,16.0,new,experiments/results/BW_2_2/TB_5mill/33.onnx,BW,2,2,2408.3650209903717,1650000,1e-05,20,0.1,15,True,10000,True,10000,True,33
34,21,15,28,20,137,7,0,2,0,16.66,9.0,new,experiments/results/BW_2_2/TB_5mill/34.onnx,BW,2,2,2480.6176471710205,1700000,1e-05,20,0.1,15,True,10000,True,10000,True,34
35,20,15,27,20,163,7,0,2,0,16.66,10.0,new,experiments/results/BW_2_2/TB_5mill/35.onnx,BW,2,2,2552.193435192108,1750000,1e-05,20,0.1,15,True,10000,True,10000,True,35
36,21,18,34,29,154,13,0,1,0,16.66,7.0,new,experiments/results/BW_2_2/TB_5mill/36.onnx,BW,2,2,2623.7283964157104,1800000,1e-05,20,0.1,15,True,10000,True,10000,True,36
37,25,15,36,20,155,10,0,1,0,16.66,12.0,new,experiments/results/BW_2_2/TB_5mill/37.onnx,BW,2,2,2700.9498512744904,1850000,1e-05,20,0.1,15,True,10000,True,10000,True,37
38,31,19,59,30,168,25,0,1,0,17.62,12.0,new,experiments/results/BW_2_2/TB_5mill/38.onnx,BW,2,2,2774.478507757187,1900000,1e-05,20,0.1,15,True,10000,True,10000,True,38
39,28,15,46,20,172,15,0,1,0,17.14,14.0,new,experiments/results/BW_2_2/TB_5mill/39.onnx,BW,2,2,2847.7620503902435,1950000,1e-05,20,0.1,15,True,10000,True,10000,True,39
40,21,15,28,20,160,7,0,2,0,16.66,13.0,new,experiments/results/BW_2_2/TB_5mill/40.onnx,BW,2,2,2924.285846233368,2000000,1e-05,20,0.1,15,True,10000,True,10000,True,40
41,31,15,56,20,154,23,0,1,0,17.62,17.0,new,experiments/results/BW_2_2/TB_5mill/41.onnx,BW,2,2,2997.582473039627,2050000,1e-05,20,0.1,15,True,10000,True,10000,True,41
42,31,15,55,20,150,23,0,1,0,17.62,11.0,new,experiments/results/BW_2_2/TB_5mill/42.onnx,BW,2,2,3072.762427330017,2100000,1e-05,20,0.1,15,True,10000,True,10000,True,42
43,20,15,27,20,134,7,0,2,0,16.66,10.0,new,experiments/results/BW_2_2/TB_5mill/43.onnx,BW,2,2,3147.0549092292786,2150000,1e-05,20,0.1,15,True,10000,True,10000,True,43
44,21,15,28,20,155,7,0,2,0,16.66,9.0,new,experiments/results/BW_2_2/TB_5mill/44.onnx,BW,2,2,3219.7870223522186,2200000,1e-05,20,0.1,15,True,10000,True,10000,True,44
45,31,15,55,20,146,22,0,1,0,17.62,16.0,new,experiments/results/BW_2_2/TB_5mill/45.onnx,BW,2,2,3292.1670367717743,2250000,1e-05,20,0.1,15,True,10000,True,10000,True,45
46,27,15,45,20,165,16,0,1,0,17.14,14.0,new,experiments/results/BW_2_2/TB_5mill/46.onnx,BW,2,2,3367.172394514084,2300000,1e-05,20,0.1,15,True,10000,True,10000,True,46
47,32,15,60,20,154,23,0,2,0,17.62,17.0,new,experiments/results/BW_2_2/TB_5mill/47.onnx,BW,2,2,3442.8085191249847,2350000,1e-05,20,0.1,15,True,10000,True,10000,True,47
48,21,15,29,20,158,7,0,1,0,16.66,8.0,new,experiments/results/BW_2_2/TB_5mill/48.onnx,BW,2,2,3516.4983665943146,2400000,1e-05,20,0.1,15,True,10000,True,10000,True,48
49,21,15,28,20,137,7,0,2,0,16.66,13.0,new,experiments/results/BW_2_2/TB_5mill/49.onnx,BW,2,2,3591.175664663315,2450000,1e-05,20,0.1,15,True,10000,True,10000,True,49
