,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,Exception
0,6.0,6.0,8.0,8.0,183.0,2.0,0.0,1.0,0.0,12.03,8.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,1,
1,7.0,6.0,10.0,8.0,178.0,2.0,0.0,1.0,0.0,12.51,12.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,2,
2,8.0,6.0,12.0,8.0,160.0,2.0,0.0,1.0,0.0,13.57,12.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,3,
3,9.0,6.0,14.0,8.0,182.0,2.0,0.0,1.0,0.0,14.0,13.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,4,
4,10.0,6.0,16.0,8.0,184.0,2.0,0.0,1.0,0.0,14.99,15.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,5,
5,11.0,6.0,18.0,8.0,166.0,2.0,0.0,1.0,0.0,14.48,17.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,6,
6,12.0,6.0,20.0,8.0,184.0,2.0,0.0,1.0,0.0,14.99,17.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,7,
7,13.0,6.0,22.0,8.0,185.0,2.0,0.0,1.0,0.0,14.96,15.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,8,
8,14.0,6.0,24.0,8.0,197.0,2.0,0.0,1.0,0.0,14.99,14.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,9,
9,15.0,6.0,26.0,8.0,189.0,2.0,0.0,1.0,0.0,15.5,21.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,10,
10,16.0,6.0,28.0,8.0,198.0,2.0,0.0,1.0,0.0,15.53,21.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,11,
11,17.0,6.0,30.0,8.0,195.0,2.0,0.0,1.0,0.0,15.53,24.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,12,
12,18.0,6.0,32.0,8.0,186.0,2.0,0.0,1.0,0.0,16.0,18.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,13,
13,19.0,6.0,34.0,8.0,195.0,2.0,0.0,1.0,0.0,16.0,23.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,14,
14,20.0,6.0,36.0,8.0,176.0,2.0,0.0,1.0,0.0,16.0,22.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,1,15,
15,16.0,0.0,15.0,0.0,182.0,0.0,0.0,0.0,1.0,0.0,16.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,1,
16,31.0,23.0,55.0,33.0,201.0,6.0,0.0,1.0,0.0,15.47,24.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,2,
17,43.0,23.0,87.0,33.0,231.0,6.0,0.0,1.0,0.0,16.48,50.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,3,
18,57.0,23.0,127.0,33.0,252.0,6.0,0.0,1.0,0.0,17.44,60.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,4,
19,73.0,23.0,175.0,33.0,260.0,6.0,0.0,1.0,0.0,18.0,75.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,5,
20,91.0,23.0,231.0,33.0,285.0,6.0,0.0,1.0,0.0,19.44,90.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,6,
21,111.0,23.0,295.0,33.0,304.0,6.0,0.0,1.0,0.0,20.96,108.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,7,
22,133.0,23.0,367.0,33.0,319.0,6.0,0.0,1.0,0.0,22.48,122.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,8,
23,157.0,23.0,447.0,33.0,353.0,6.0,0.0,1.0,0.0,24.48,152.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,9,
24,183.0,23.0,535.0,33.0,398.0,6.0,0.0,1.0,0.0,26.96,188.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,10,
25,211.0,23.0,631.0,33.0,432.0,6.0,0.0,1.0,0.0,9.29,197.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,11,
26,241.0,23.0,735.0,33.0,425.0,6.0,0.0,1.0,0.0,18.29,224.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,12,
27,273.0,23.0,847.0,33.0,438.0,6.0,0.0,1.0,0.0,21.42,222.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,13,
28,307.0,23.0,967.0,33.0,492.0,6.0,0.0,1.0,0.0,26.52,284.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,14,
29,343.0,25.0,1096.0,39.0,634.0,7.0,0.0,1.0,0.0,30.54,389.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,2,15,
30,24.0,0.0,23.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,23.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,1,
31,37.0,0.0,38.0,0.0,212.0,0.0,0.0,0.0,3.0,0.0,37.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,2,
32,219.0,104.0,491.0,150.0,396.0,22.0,0.0,1.0,0.0,27.44,177.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,3,
33,345.0,107.0,893.0,155.0,543.0,36.0,0.0,1.0,0.0,37.32,280.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,4,
34,513.0,103.0,1481.0,148.0,732.0,53.0,0.0,1.0,0.0,81.59,355.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,5,
35,729.0,104.0,2291.0,150.0,916.0,65.0,0.0,1.0,0.0,10.6,437.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,6,
36,999.0,103.0,3359.0,148.0,1365.0,78.0,0.0,1.0,0.0,133.56,693.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,7,
37,1329.0,101.0,4721.0,145.0,1874.0,92.0,0.0,1.0,0.0,45.46,1042.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,8,
38,1725.0,103.0,6413.0,148.0,2539.0,109.0,0.0,1.0,0.0,53.61,1346.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,9,
39,2193.0,106.0,8471.0,153.0,3307.0,121.0,0.0,1.0,0.0,20.3,1751.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,10,
40,2739.0,103.0,10931.0,148.0,4545.0,137.0,0.0,1.0,0.0,42.33,2275.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,11,
41,3369.0,105.0,13829.0,151.0,6160.0,151.0,0.0,1.0,0.0,140.04,3081.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,12,
42,4089.0,105.0,17201.0,151.0,8135.0,165.0,0.0,1.0,0.0,135.39,3638.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,13,
43,4905.0,105.0,21083.0,152.0,11288.0,177.0,0.0,1.0,0.0,126.78,5225.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,14,
44,5823.0,105.0,25511.0,151.0,15341.0,193.0,0.0,1.0,0.0,116.95,6613.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,3,15,
45,37.0,0.0,36.0,0.0,225.0,0.0,0.0,0.0,1.0,0.0,38.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,4,1,
46,93.0,0.0,94.0,0.0,236.0,0.0,0.0,0.0,4.0,0.0,58.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,4,2,
47,208.0,0.0,231.0,0.0,359.0,0.0,0.0,0.0,35.0,0.0,157.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,4,3,
48,1865.0,547.0,4920.0,795.0,1868.0,79.0,0.0,1.0,0.0,39.85,1266.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,4,4,
49,3241.0,553.0,9723.0,805.0,3938.0,110.0,0.0,1.0,0.0,125.3,2665.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,4,5,
50,5289.0,543.0,17707.0,791.0,10869.0,192.0,0.0,1.0,0.0,100.1,6522.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,4,6,
51,8201.0,546.0,30034.0,794.0,27927.0,269.0,0.0,1.0,0.0,121.43,15331.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,4,7,
52,12193.0,546.0,48138.0,797.0,73808.0,394.0,0.0,1.0,0.0,83.64,39367.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,4,8,
53,17505.0,553.0,73582.0,810.0,162728.0,378.0,0.0,1.0,0.0,346.17,101749.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,4,9,
54,24401.0,537.0,108143.0,779.0,386103.0,625.0,0.0,1.0,0.0,323.25,228325.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,4,10,
55,,,,,,,,,,,,False,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,4,11,True
56,72.0,0.0,71.0,0.0,266.0,0.0,0.0,0.0,1.0,0.0,67.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,5,1,
57,184.0,0.0,185.0,0.0,330.0,0.0,0.0,0.0,5.0,0.0,146.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,5,2,
58,594.0,0.0,621.0,0.0,457.0,0.0,0.0,0.0,53.0,0.0,243.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,5,3,
59,1682.0,0.0,2004.0,0.0,1135.0,0.0,0.0,0.0,389.0,0.0,883.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,5,4,
60,18313.0,3371.0,55192.0,4967.0,145360.0,675.0,0.0,1.0,0.0,258.81,105232.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,5,5,
61,,,,,,,,,,,,False,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,5,6,
62,136.0,0.0,135.0,0.0,282.0,0.0,0.0,0.0,1.0,0.0,101.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,6,1,
63,378.0,0.0,379.0,0.0,467.0,0.0,0.0,0.0,6.0,0.0,274.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,6,2,
64,1978.0,0.0,2033.0,0.0,1408.0,0.0,0.0,0.0,98.0,0.0,1181.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,6,3,
65,5676.0,0.0,6255.0,0.0,8844.0,0.0,0.0,0.0,776.0,0.0,8425.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,6,4,
66,15412.0,0.0,19607.0,0.0,68651.0,0.0,0.0,0.0,4531.0,0.0,67537.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,6,5,
67,264.0,0.0,263.0,0.0,434.0,0.0,0.0,0.0,1.0,0.0,255.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,7,1,
68,474.0,0.0,475.0,0.0,495.0,0.0,0.0,0.0,2.0,0.0,291.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,7,2,
69,4686.0,0.0,4777.0,0.0,8881.0,0.0,0.0,0.0,138.0,0.0,8518.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,7,3,
70,23596.0,0.0,25040.0,0.0,205487.0,0.0,0.0,0.0,1758.0,0.0,204175.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,7,4,
71,,,,,,,,,,,,False,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,7,5,True
72,520.0,0.0,519.0,0.0,492.0,0.0,0.0,0.0,1.0,0.0,284.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,8,1,
73,929.0,0.0,930.0,0.0,793.0,0.0,0.0,0.0,2.0,0.0,576.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,8,2,
74,11444.0,0.0,11564.0,0.0,62720.0,0.0,0.0,0.0,197.0,0.0,62072.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,8,3,
75,,,,,,,,,,,,False,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,8,4,True
76,1032.0,0.0,1031.0,0.0,965.0,0.0,0.0,0.0,1.0,0.0,736.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,9,1,
77,2074.0,0.0,2075.0,0.0,3011.0,0.0,0.0,0.0,4.0,0.0,2771.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,9,2,
78,27622.0,0.0,27775.0,0.0,430447.0,0.0,0.0,0.0,256.0,0.0,429053.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,9,3,
79,2056.0,0.0,2055.0,0.0,3532.0,0.0,0.0,0.0,1.0,0.0,3292.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,10,1,
80,5150.0,0.0,5151.0,0.0,17322.0,0.0,0.0,0.0,6.0,0.0,16925.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,10,2,
81,,,,,,,,,,,,False,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,10,3,True
82,4102.0,0.0,4101.0,0.0,13575.0,0.0,0.0,0.0,1.0,0.0,13226.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,11,1,
83,8222.0,0.0,8223.0,0.0,53916.0,0.0,0.0,0.0,4.0,0.0,53392.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,11,2,
84,8200.0,0.0,8199.0,0.0,56472.0,0.0,0.0,0.0,1.0,0.0,56005.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,12,1,
85,20511.0,0.0,20512.0,0.0,358780.0,0.0,0.0,0.0,6.0,0.0,357711.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,12,2,
86,16392.0,0.0,16391.0,0.0,250227.0,0.0,0.0,0.0,1.0,0.0,249394.0,True,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,13,1,
87,,,,,,,,,,,,False,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,13,2,True
88,,,,,,,,,,,,False,new,experiments/results/AT_2_2/focused_7/0.onnx,AT,14,1,True
