,expanded transitions,synthesis time(ms),OutOfMem,Exception,algorithm,heuristic,problem,n,k,transitions/ms,idx,expanded states,used states,used transitions,findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded
0,,,False,True,new,experiments/results/DP_2_2/boolean/0.onnx,DP,1,1,,0,,,,,,,,,,
1,,,False,True,new,experiments/results/DP_2_2/boolean/1.onnx,DP,1,1,,1,,,,,,,,,,
2,,,False,True,new,experiments/results/DP_2_2/boolean/2.onnx,DP,1,1,,2,,,,,,,,,,
3,,,False,True,new,experiments/results/DP_2_2/boolean/3.onnx,DP,1,1,,3,,,,,,,,,,
4,,,False,True,new,experiments/results/DP_2_2/boolean/4.onnx,DP,1,1,,4,,,,,,,,,,
5,,,False,True,new,experiments/results/DP_2_2/boolean/5.onnx,DP,1,1,,5,,,,,,,,,,
6,,,False,True,new,experiments/results/DP_2_2/boolean/6.onnx,DP,1,1,,6,,,,,,,,,,
7,,,False,True,new,experiments/results/DP_2_2/boolean/7.onnx,DP,1,1,,7,,,,,,,,,,
8,,,False,True,new,experiments/results/DP_2_2/boolean/8.onnx,DP,1,1,,8,,,,,,,,,,
9,3.0,165.0,False,,new,experiments/results/DP_2_2/boolean/9.onnx,DP,1,1,0.01818181818181818,9,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,false
10,4.0,165.0,False,,new,experiments/results/DP_2_2/boolean/9.onnx,DP,1,2,0.024242424242424242,9,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
11,91.0,231.0,False,,new,experiments/results/DP_2_2/boolean/9.onnx,DP,2,1,0.3939393939393939,9,68.0,25.0,31.0,18.0,2.0,1.0,6.0,22.18,50.0,false
12,101.0,236.0,False,,new,experiments/results/DP_2_2/boolean/9.onnx,DP,2,2,0.4279661016949153,9,83.0,0.0,0.0,11.0,1.0,0.0,6.0,0.0,62.0,true
13,3.0,175.0,False,,new,experiments/results/DP_2_2/boolean/10.onnx,DP,1,1,0.017142857142857144,10,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
14,4.0,172.0,False,,new,experiments/results/DP_2_2/boolean/10.onnx,DP,1,2,0.023255813953488372,10,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,false
15,89.0,242.0,False,,new,experiments/results/DP_2_2/boolean/10.onnx,DP,2,1,0.3677685950413223,10,68.0,25.0,31.0,16.0,2.0,1.0,6.0,22.18,51.0,false
