,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
220,2350,0,5001,0,22221,2518,0,0,0,0.0,14684.0,true,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,4,5,0.22505737815579857,3
221,65,0,74,0,284,0,0,0,1,0.0,92.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,5,1,0.2605633802816901,3
222,286,0,370,0,528,52,0,0,10,0.0,298.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,5,2,0.7007575757575758,3
223,708,0,939,0,1117,199,0,0,11,0.0,749.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,5,3,0.8406445837063563,3
224,3219,0,5001,0,18392,1529,0,0,157,0.0,13786.0,true,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,5,4,0.2719117007394519,3
225,109,0,120,0,329,0,0,0,1,0.0,142.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,6,1,0.364741641337386,3
226,516,0,621,0,794,60,0,0,6,0.0,543.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,6,2,0.7821158690176322,3
227,1885,0,2467,0,4529,476,0,0,48,0.0,3654.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,6,3,0.5447118569220578,3
228,187,0,200,0,364,0,0,0,1,0.0,169.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,7,1,0.5494505494505495,3
229,1293,0,1504,0,2139,51,0,0,28,0.0,1860.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,7,2,0.7031323048153343,3
230,3272,0,4257,0,16227,777,0,0,104,0.0,14133.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,7,3,0.26234054353854686,3
231,1298,0,1474,0,2146,16,0,0,1,0.0,1905.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,8,1,0.6868592730661697,3
232,1038,0,1059,0,1692,0,0,0,15,0.0,1443.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,8,2,0.625886524822695,3
233,4406,0,5001,0,24897,251,0,0,0,0.0,24044.0,true,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,8,3,0.200867574406555,3
234,2836,0,3170,0,9631,32,0,0,1,0.0,9313.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,9,1,0.3291454677603572,3
235,1317,0,1348,0,2500,0,0,0,25,0.0,2271.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,9,2,0.5392,3
236,1137,0,1156,0,2088,0,0,0,1,0.0,1873.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,10,1,0.553639846743295,3
237,4337,0,5001,0,28027,16,0,0,0,0.0,27607.0,true,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,10,2,0.17843508045812967,3
238,2183,0,2204,0,6866,0,0,0,1,0.0,6609.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,11,1,0.3210020390329158,3
239,4255,0,4278,0,27684,0,0,0,1,0.0,27371.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,12,1,0.15452969224100563,3
240,5002,0,5001,0,42368,0,0,0,0,0.0,42026.0,true,False,new,experiments/results/AT_2_2/labelsThatReach/3.onnx,AT,13,1,0.11803719788519637,3
241,6,6,8,8,183,2,0,1,0,13.5,14.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/4.onnx,AT,1,1,0.04371584699453552,4
