,expanded transitions,synthesis time(ms),OutOfMem,Exception,algorithm,heuristic,problem,n,k,idx
0,,,False,True,new,experiments/results/AT_2_2/33stepRR/0.onnx,AT,1,1,0
1,,,False,True,new,experiments/results/AT_2_2/33stepRR/1.onnx,AT,1,1,1
2,,,False,True,new,experiments/results/AT_2_2/33stepRR/2.onnx,AT,1,1,2
3,,,False,True,new,experiments/results/AT_2_2/33stepRR/3.onnx,AT,1,1,3
4,,,False,True,new,experiments/results/AT_2_2/33stepRR/4.onnx,AT,1,1,4
5,,,False,True,new,experiments/results/AT_2_2/33stepRR/5.onnx,AT,1,1,5
6,,,False,True,new,experiments/results/AT_2_2/33stepRR/6.onnx,AT,1,1,6
7,,,False,True,new,experiments/results/AT_2_2/33stepRR/7.onnx,AT,1,1,7
8,,,False,True,new,experiments/results/AT_2_2/33stepRR/8.onnx,AT,1,1,8
9,,,False,True,new,experiments/results/AT_2_2/33stepRR/9.onnx,AT,1,1,9
10,,,False,True,new,experiments/results/AT_2_2/33stepRR/10.onnx,AT,1,1,10
11,,,False,True,new,experiments/results/AT_2_2/33stepRR/11.onnx,AT,1,1,11
12,,,False,True,new,experiments/results/AT_2_2/33stepRR/12.onnx,AT,1,1,12
13,,,False,True,new,experiments/results/AT_2_2/33stepRR/13.onnx,AT,1,1,13
14,,,False,True,new,experiments/results/AT_2_2/33stepRR/14.onnx,AT,1,1,14
15,,,False,True,new,experiments/results/AT_2_2/33stepRR/15.onnx,AT,1,1,15
16,,,False,True,new,experiments/results/AT_2_2/33stepRR/16.onnx,AT,1,1,16
17,,,False,True,new,experiments/results/AT_2_2/33stepRR/17.onnx,AT,1,1,17
18,,,False,True,new,experiments/results/AT_2_2/33stepRR/18.onnx,AT,1,1,18
19,,,False,True,new,experiments/results/AT_2_2/33stepRR/19.onnx,AT,1,1,19
20,,,False,True,new,experiments/results/AT_2_2/33stepRR/20.onnx,AT,1,1,20
21,,,False,True,new,experiments/results/AT_2_2/33stepRR/21.onnx,AT,1,1,21
22,,,False,True,new,experiments/results/AT_2_2/33stepRR/22.onnx,AT,1,1,22
23,,,False,True,new,experiments/results/AT_2_2/33stepRR/23.onnx,AT,1,1,23
24,,,False,True,new,experiments/results/AT_2_2/33stepRR/24.onnx,AT,1,1,24
25,,,False,True,new,experiments/results/AT_2_2/33stepRR/25.onnx,AT,1,1,25
26,,,False,True,new,experiments/results/AT_2_2/33stepRR/26.onnx,AT,1,1,26
27,,,False,True,new,experiments/results/AT_2_2/33stepRR/27.onnx,AT,1,1,27
28,,,False,True,new,experiments/results/AT_2_2/33stepRR/28.onnx,AT,1,1,28
29,,,False,True,new,experiments/results/AT_2_2/33stepRR/29.onnx,AT,1,1,29
30,,,False,True,new,experiments/results/AT_2_2/33stepRR/30.onnx,AT,1,1,30
31,,,False,True,new,experiments/results/AT_2_2/33stepRR/31.onnx,AT,1,1,31
32,,,False,True,new,experiments/results/AT_2_2/33stepRR/32.onnx,AT,1,1,32
33,,,False,True,new,experiments/results/AT_2_2/33stepRR/33.onnx,AT,1,1,33
34,,,False,True,new,experiments/results/AT_2_2/33stepRR/34.onnx,AT,1,1,34
