,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
326,100,0,105,0,292,0,0,0,14,0.0,118.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,5,2,0.3595890410958904,4
327,647,0,721,0,599,0,0,0,122,0.0,392.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,5,3,1.2036727879799667,4
328,2212,0,2740,0,2176,0,0,0,578,0.0,1871.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,5,4,1.2591911764705883,4
329,17,0,16,0,214,0,0,0,1,0.0,44.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,6,1,0.07476635514018691,4
330,149,0,155,0,332,0,0,0,19,0.0,150.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,6,2,0.46686746987951805,4
331,1072,0,1173,0,1141,0,0,0,182,0.0,898.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,6,3,1.028045574057844,4
332,4285,0,5001,0,7612,0,0,0,933,0.0,7238.0,true,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,6,4,0.656988964792433,4
333,19,0,18,0,206,0,0,0,1,0.0,40.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,7,1,0.08737864077669903,4
334,194,0,201,0,360,0,0,0,22,0.0,179.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,7,2,0.5583333333333333,4
335,2157,0,2305,0,3216,0,0,0,332,0.0,2949.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,7,3,0.716728855721393,4
336,21,0,20,0,228,0,0,0,1,0.0,48.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,8,1,0.08771929824561403,4
337,313,0,320,0,522,0,0,0,22,0.0,328.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,8,2,0.6130268199233716,4
338,3143,0,3337,0,8038,0,0,0,420,0.0,7741.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,8,3,0.4151530231400846,4
339,23,0,22,0,223,0,0,0,1,0.0,53.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,9,1,0.09865470852017937,4
340,309,0,318,0,533,0,0,0,29,0.0,339.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,9,2,0.5966228893058161,4
341,3932,0,4079,0,15587,0,0,0,389,0.0,15193.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,9,3,0.2616924360043626,4
342,25,0,24,0,227,0,0,0,1,0.0,57.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,10,1,0.10572687224669604,4
343,929,0,931,0,1627,0,0,0,75,0.0,1399.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,10,2,0.5722188076213891,4
344,4927,0,5001,0,29339,0,0,0,449,0.0,28855.0,true,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,10,3,0.17045570742015748,4
345,27,0,26,0,242,0,0,0,1,0.0,73.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,11,1,0.10743801652892562,4
346,455,0,466,0,817,0,0,0,36,0.0,609.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,11,2,0.5703794369645043,4
347,29,0,28,0,242,0,0,0,1,0.0,69.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,12,1,0.11570247933884298,4
348,1343,0,1346,0,3580,0,0,0,92,0.0,3314.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,12,2,0.37597765363128494,4
349,31,0,30,0,269,0,0,0,1,0.0,95.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,13,1,0.11152416356877323,4
350,632,0,645,0,1311,0,0,0,43,0.0,1096.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,13,2,0.4919908466819222,4
351,33,0,32,0,270,0,0,0,1,0.0,96.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,14,1,0.11851851851851852,4
352,762,0,776,0,1819,0,0,0,47,0.0,1611.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,14,2,0.42660802638812534,4
353,35,0,34,0,269,0,0,0,1,0.0,89.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,15,1,0.12639405204460966,4
354,834,0,849,0,2178,0,0,0,50,0.0,1952.0,false,False,new,experiments/results/AT_2_2/boolean/4.onnx,AT,15,2,0.38980716253443526,4
355,6,6,8,8,178,2,0,1,0,13.51,14.0,false,False,new,experiments/results/AT_2_2/boolean/5.onnx,AT,1,1,0.0449438202247191,5
