,expanded transitions,synthesis time(ms),OutOfMem,Exception,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/0.onnx,DP,1,1,,0
1,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/1.onnx,DP,1,1,,1
2,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/2.onnx,DP,1,1,,2
3,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/3.onnx,DP,1,1,,3
4,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/4.onnx,DP,1,1,,4
5,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/5.onnx,DP,1,1,,5
6,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/6.onnx,DP,1,1,,6
7,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/7.onnx,DP,1,1,,7
8,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/8.onnx,DP,1,1,,8
9,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/10.onnx,DP,1,1,,10
10,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/11.onnx,DP,1,1,,11
11,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/12.onnx,DP,1,1,,12
12,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/13.onnx,DP,1,1,,13
13,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/14.onnx,DP,1,1,,14
14,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/15.onnx,DP,1,1,,15
15,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/16.onnx,DP,1,1,,16
16,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/17.onnx,DP,1,1,,17
17,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/18.onnx,DP,1,1,,18
18,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/19.onnx,DP,1,1,,19
19,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/20.onnx,DP,1,1,,20
20,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/22.onnx,DP,1,1,,22
21,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/23.onnx,DP,1,1,,23
22,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/24.onnx,DP,1,1,,24
23,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/25.onnx,DP,1,1,,25
24,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/26.onnx,DP,1,1,,26
25,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/27.onnx,DP,1,1,,27
26,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/28.onnx,DP,1,1,,28
27,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/29.onnx,DP,1,1,,29
28,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/30.onnx,DP,1,1,,30
29,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/31.onnx,DP,1,1,,31
30,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/32.onnx,DP,1,1,,32
31,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/33.onnx,DP,1,1,,33
32,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/34.onnx,DP,1,1,,34
33,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/35.onnx,DP,1,1,,35
34,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/36.onnx,DP,1,1,,36
35,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/37.onnx,DP,1,1,,37
36,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/38.onnx,DP,1,1,,38
37,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/39.onnx,DP,1,1,,39
38,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/40.onnx,DP,1,1,,40
39,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/41.onnx,DP,1,1,,41
40,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/42.onnx,DP,1,1,,42
41,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/43.onnx,DP,1,1,,43
42,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/45.onnx,DP,1,1,,45
43,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/46.onnx,DP,1,1,,46
44,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/48.onnx,DP,1,1,,48
45,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/49.onnx,DP,1,1,,49
