,expanded transitions,synthesis time(ms),OutOfMem,Exception,algorithm,heuristic,problem,n,k,transitions/ms,idx
46,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/50.onnx,DP,1,1,,50
47,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/51.onnx,DP,1,1,,51
48,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/52.onnx,DP,1,1,,52
49,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/53.onnx,DP,1,1,,53
50,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/54.onnx,DP,1,1,,54
51,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/55.onnx,DP,1,1,,55
52,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/56.onnx,DP,1,1,,56
53,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/57.onnx,DP,1,1,,57
54,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/58.onnx,DP,1,1,,58
55,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/59.onnx,DP,1,1,,59
56,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/60.onnx,DP,1,1,,60
57,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/61.onnx,DP,1,1,,61
58,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/62.onnx,DP,1,1,,62
59,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/63.onnx,DP,1,1,,63
60,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/65.onnx,DP,1,1,,65
61,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/66.onnx,DP,1,1,,66
62,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/68.onnx,DP,1,1,,68
63,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/69.onnx,DP,1,1,,69
64,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/70.onnx,DP,1,1,,70
65,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/71.onnx,DP,1,1,,71
66,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/72.onnx,DP,1,1,,72
67,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/73.onnx,DP,1,1,,73
68,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/74.onnx,DP,1,1,,74
69,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/75.onnx,DP,1,1,,75
70,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/76.onnx,DP,1,1,,76
71,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/77.onnx,DP,1,1,,77
72,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/78.onnx,DP,1,1,,78
73,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/79.onnx,DP,1,1,,79
74,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/80.onnx,DP,1,1,,80
75,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/81.onnx,DP,1,1,,81
76,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/82.onnx,DP,1,1,,82
77,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/84.onnx,DP,1,1,,84
78,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/85.onnx,DP,1,1,,85
79,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/86.onnx,DP,1,1,,86
80,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/87.onnx,DP,1,1,,87
81,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/88.onnx,DP,1,1,,88
82,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/89.onnx,DP,1,1,,89
83,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/90.onnx,DP,1,1,,90
84,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/91.onnx,DP,1,1,,91
85,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/92.onnx,DP,1,1,,92
86,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/93.onnx,DP,1,1,,93
87,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/94.onnx,DP,1,1,,94
88,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/95.onnx,DP,1,1,,95
89,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/96.onnx,DP,1,1,,96
90,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/97.onnx,DP,1,1,,97
91,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/98.onnx,DP,1,1,,98
92,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/99.onnx,DP,1,1,,99
93,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/100.onnx,DP,1,1,,100
94,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/101.onnx,DP,1,1,,101
95,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/102.onnx,DP,1,1,,102
96,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/104.onnx,DP,1,1,,104
97,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/106.onnx,DP,1,1,,106
98,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/107.onnx,DP,1,1,,107
99,,,False,True,new,experiments/results/DP_2_2/labelsThatReach_boolean?/108.onnx,DP,1,1,,108
