,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,context features,idx
0,48,25,93,40,191,22,0,1,11,21.62,28.0,new,experiments/results/AT_2_2/5mill_C/0.onnx,AT,2,3,3.4841361045837402,0,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,0
1,51,28,83,46,250,11,0,1,9,23.62,47.0,new,experiments/results/AT_2_2/5mill_C/1.onnx,AT,2,3,106.90676832199097,50000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,1
2,45,27,73,41,244,10,0,1,12,22.18,46.0,new,experiments/results/AT_2_2/5mill_C/2.onnx,AT,2,3,211.83314108848572,100000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,2
3,51,27,98,45,224,8,0,1,9,21.62,34.0,new,experiments/results/AT_2_2/5mill_C/3.onnx,AT,2,3,316.2072434425354,150000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,3
4,48,25,90,40,211,36,0,1,8,22.18,33.0,new,experiments/results/AT_2_2/5mill_C/4.onnx,AT,2,3,420.8102614879608,200000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,4
5,51,27,97,45,214,4,0,1,8,21.62,38.0,new,experiments/results/AT_2_2/5mill_C/5.onnx,AT,2,3,526.6829426288605,250000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,5
6,44,25,82,40,185,18,0,1,7,21.14,30.0,new,experiments/results/AT_2_2/5mill_C/6.onnx,AT,2,3,633.2126460075378,300000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,6
7,28,23,47,33,189,5,0,1,1,19.14,23.0,new,experiments/results/AT_2_2/5mill_C/7.onnx,AT,2,3,740.0839819908142,350000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,7
8,36,23,58,33,177,10,0,1,6,20.18,32.0,new,experiments/results/AT_2_2/5mill_C/8.onnx,AT,2,3,849.4124274253845,400000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,8
9,30,27,48,37,173,9,0,1,1,19.62,23.0,new,experiments/results/AT_2_2/5mill_C/9.onnx,AT,2,3,957.450355052948,450000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,9
10,28,20,48,30,172,10,0,1,3,19.14,28.0,new,experiments/results/AT_2_2/5mill_C/10.onnx,AT,2,3,1064.67001247406,500000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,10
11,30,21,50,31,208,10,0,1,0,19.62,29.0,new,experiments/results/AT_2_2/5mill_C/11.onnx,AT,2,3,1172.3248705863953,550000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,11
12,41,25,66,36,213,9,0,1,7,20.66,26.0,new,experiments/results/AT_2_2/5mill_C/12.onnx,AT,2,3,1279.6666810512543,600000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,12
13,21,21,33,31,171,6,0,1,0,18.66,27.0,new,experiments/results/AT_2_2/5mill_C/13.onnx,AT,2,3,1387.8623390197754,650000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,13
14,36,23,58,34,177,14,0,2,4,19.7,29.0,new,experiments/results/AT_2_2/5mill_C/14.onnx,AT,2,3,1494.9350662231445,700000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,14
15,44,25,76,39,188,26,0,1,7,21.14,37.0,new,experiments/results/AT_2_2/5mill_C/15.onnx,AT,2,3,1600.7520627975464,750000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,15
16,42,23,70,34,204,23,0,2,7,20.66,34.0,new,experiments/results/AT_2_2/5mill_C/16.onnx,AT,2,3,1706.8617143630981,800000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,16
17,27,23,43,34,184,12,0,1,3,19.14,23.0,new,experiments/results/AT_2_2/5mill_C/17.onnx,AT,2,3,1813.5224158763885,850000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,17
18,42,23,70,33,202,26,0,2,7,20.66,39.0,new,experiments/results/AT_2_2/5mill_C/18.onnx,AT,2,3,1921.9341068267822,900000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,18
19,42,25,71,36,196,22,0,2,9,20.66,38.0,new,experiments/results/AT_2_2/5mill_C/19.onnx,AT,2,3,2029.8331441879272,950000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,19
20,44,27,79,42,208,30,0,2,10,20.66,31.0,new,experiments/results/AT_2_2/5mill_C/20.onnx,AT,2,3,2136.691545724869,1000000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,20
21,44,27,79,42,207,30,0,2,10,20.66,26.0,new,experiments/results/AT_2_2/5mill_C/21.onnx,AT,2,3,2241.8357815742493,1050000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,21
22,44,24,79,38,226,26,0,1,10,20.66,42.0,new,experiments/results/AT_2_2/5mill_C/22.onnx,AT,2,3,2347.649318933487,1100000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,22
23,44,26,79,40,208,21,0,2,10,21.14,36.0,new,experiments/results/AT_2_2/5mill_C/23.onnx,AT,2,3,2453.33296084404,1150000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,23
24,44,27,79,42,185,30,0,2,10,20.66,24.0,new,experiments/results/AT_2_2/5mill_C/24.onnx,AT,2,3,2558.820764064789,1200000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,24
25,44,26,79,40,229,24,0,2,10,21.14,38.0,new,experiments/results/AT_2_2/5mill_C/25.onnx,AT,2,3,2665.597010374069,1250000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,25
26,44,27,79,42,233,23,0,2,10,21.14,39.0,new,experiments/results/AT_2_2/5mill_C/26.onnx,AT,2,3,2772.7010424137115,1300000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,26
27,44,26,79,40,185,23,0,2,10,20.66,26.0,new,experiments/results/AT_2_2/5mill_C/27.onnx,AT,2,3,2880.173027038574,1350000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,27
28,44,27,79,42,195,20,0,2,10,20.66,30.0,new,experiments/results/AT_2_2/5mill_C/28.onnx,AT,2,3,2986.6562662124634,1400000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,28
