,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,context features,idx
0,35,22,63,36,184,19,0,1,8,19.14,31.0,new,experiments/results/AT_2_2/5mill_C/0.onnx,AT,2,2,3.4841361045837402,0,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,0
1,37,27,62,45,207,10,0,1,8,19.62,33.0,new,experiments/results/AT_2_2/5mill_C/1.onnx,AT,2,2,106.90676832199097,50000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,1
2,30,20,48,30,185,7,0,1,6,18.66,30.0,new,experiments/results/AT_2_2/5mill_C/2.onnx,AT,2,2,211.83314108848572,100000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,2
3,37,27,64,45,185,8,0,1,7,19.14,38.0,new,experiments/results/AT_2_2/5mill_C/3.onnx,AT,2,2,316.2072434425354,150000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,3
4,35,22,60,36,185,23,0,1,5,19.14,34.0,new,experiments/results/AT_2_2/5mill_C/4.onnx,AT,2,2,420.8102614879608,200000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,4
5,37,27,63,45,171,4,0,1,6,19.14,29.0,new,experiments/results/AT_2_2/5mill_C/5.onnx,AT,2,2,526.6829426288605,250000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,5
6,36,22,62,36,188,12,0,1,8,19.14,30.0,new,experiments/results/AT_2_2/5mill_C/6.onnx,AT,2,2,633.2126460075378,300000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,6
7,23,20,37,30,176,8,0,1,1,18.18,15.0,new,experiments/results/AT_2_2/5mill_C/7.onnx,AT,2,2,740.0839819908142,350000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,7
8,25,20,38,30,194,6,0,1,2,18.18,21.0,new,experiments/results/AT_2_2/5mill_C/8.onnx,AT,2,2,849.4124274253845,400000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,8
9,22,20,36,30,163,8,0,1,0,18.18,24.0,new,experiments/results/AT_2_2/5mill_C/9.onnx,AT,2,2,957.450355052948,450000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,9
10,27,20,43,30,202,9,0,1,4,18.18,29.0,new,experiments/results/AT_2_2/5mill_C/10.onnx,AT,2,2,1064.67001247406,500000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,10
11,23,23,35,33,182,7,0,2,0,17.7,21.0,new,experiments/results/AT_2_2/5mill_C/11.onnx,AT,2,2,1172.3248705863953,550000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,11
12,26,23,38,33,200,7,0,1,3,18.18,27.0,new,experiments/results/AT_2_2/5mill_C/12.onnx,AT,2,2,1279.6666810512543,600000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,12
13,21,20,32,30,179,5,0,1,1,17.62,18.0,new,experiments/results/AT_2_2/5mill_C/13.onnx,AT,2,2,1387.8623390197754,650000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,13
14,25,23,37,33,187,7,0,2,2,18.18,20.0,new,experiments/results/AT_2_2/5mill_C/14.onnx,AT,2,2,1494.9350662231445,700000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,14
15,32,25,51,39,182,16,0,1,5,18.66,33.0,new,experiments/results/AT_2_2/5mill_C/15.onnx,AT,2,2,1600.7520627975464,750000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,15
16,30,20,45,30,169,11,0,2,5,18.18,23.0,new,experiments/results/AT_2_2/5mill_C/16.onnx,AT,2,2,1706.8617143630981,800000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,16
17,32,25,53,39,173,15,0,2,7,18.66,21.0,new,experiments/results/AT_2_2/5mill_C/17.onnx,AT,2,2,1813.5224158763885,850000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,17
18,32,25,51,39,174,15,0,2,5,18.66,25.0,new,experiments/results/AT_2_2/5mill_C/18.onnx,AT,2,2,1921.9341068267822,900000,1e-05,20,0.1,27,True,10000,True,10000,True,True,True,18
