,expanded transitions,synthesis time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
0,,,new,experiments/results/CM_2_2/base_features_2h/0.onnx,CM,3,3,217.30030989646912,50000,1e-05,20,0.1,12,False,0
1,,,new,experiments/results/CM_2_2/base_features_2h/5.onnx,CM,3,3,1037.7194066047668,300000,1e-05,20,0.1,12,False,5
2,,,new,experiments/results/CM_2_2/base_features_2h/10.onnx,CM,3,3,1921.6710476875305,550000,1e-05,20,0.1,12,False,10
3,,,new,experiments/results/CM_2_2/base_features_2h/15.onnx,CM,3,3,2832.9262523651123,800000,1e-05,20,0.1,12,False,15
4,,,new,experiments/results/CM_2_2/base_features_2h/20.onnx,CM,3,3,3700.3948283195496,1050000,1e-05,20,0.1,12,False,20
5,,,new,experiments/results/CM_2_2/base_features_2h/25.onnx,CM,3,3,4498.914537906647,1300000,1e-05,20,0.1,12,False,25
6,,,new,experiments/results/CM_2_2/base_features_2h/30.onnx,CM,3,3,5226.190103530884,1550000,1e-05,20,0.1,12,False,30
7,,,new,experiments/results/CM_2_2/base_features_2h/35.onnx,CM,3,3,5837.06826543808,1800000,1e-05,20,0.1,12,False,35
8,,,new,experiments/results/CM_2_2/base_features_2h/40.onnx,CM,3,3,6389.722926855087,2050000,1e-05,20,0.1,12,False,40
9,,,new,experiments/results/CM_2_2/base_features_2h/45.onnx,CM,3,3,6979.342730283737,2300000,1e-05,20,0.1,12,False,45
