,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
32,131,34,194,44,281,33,0,2,12,27.62,56.0,new,experiments/results/DP_2_2/ra_feature2_2h/32.onnx,DP,2,2,2200.1281278133392,1600000,1e-05,20,0.1,17,True,32
33,57,28,73,35,170,6,0,1,6,18.66,25.0,new,experiments/results/DP_2_2/ra_feature2_2h/33.onnx,DP,2,2,2269.233783721924,1650000,1e-05,20,0.1,17,True,33
34,173,114,301,193,282,57,2,2,20,19.66,72.0,new,experiments/results/DP_2_2/ra_feature2_2h/34.onnx,DP,2,2,2338.0827708244324,1700000,1e-05,20,0.1,17,True,34
35,154,50,238,74,293,35,2,1,6,10.65,74.0,new,experiments/results/DP_2_2/ra_feature2_2h/35.onnx,DP,2,2,2407.2209939956665,1750000,1e-05,20,0.1,17,True,35
36,173,52,286,79,267,42,2,1,10,16.67,66.0,new,experiments/results/DP_2_2/ra_feature2_2h/36.onnx,DP,2,2,2476.23087143898,1800000,1e-05,20,0.1,17,True,36
37,63,44,97,64,189,15,2,1,4,20.18,23.0,new,experiments/results/DP_2_2/ra_feature2_2h/37.onnx,DP,2,2,2545.5794625282288,1850000,1e-05,20,0.1,17,True,37
38,89,25,110,29,222,7,0,2,0,22.18,35.0,new,experiments/results/DP_2_2/ra_feature2_2h/38.onnx,DP,2,2,2614.544117450714,1900000,1e-05,20,0.1,17,True,38
39,64,44,97,65,198,7,2,1,10,19.14,20.0,new,experiments/results/DP_2_2/ra_feature2_2h/39.onnx,DP,2,2,2683.5130400657654,1950000,1e-05,20,0.1,17,True,39
40,63,31,93,42,207,17,1,1,10,19.62,21.0,new,experiments/results/DP_2_2/ra_feature2_2h/40.onnx,DP,2,2,2752.4016256332397,2000000,1e-05,20,0.1,17,True,40
41,146,40,225,52,257,36,0,1,3,9.67,41.0,new,experiments/results/DP_2_2/ra_feature2_2h/41.onnx,DP,2,2,2821.636940717697,2050000,1e-05,20,0.1,17,True,41
42,160,72,278,120,280,29,3,1,21,10.68,44.0,new,experiments/results/DP_2_2/ra_feature2_2h/42.onnx,DP,2,2,2890.6869361400604,2100000,1e-05,20,0.1,17,True,42
43,63,44,99,64,224,13,2,1,5,20.18,29.0,new,experiments/results/DP_2_2/ra_feature2_2h/43.onnx,DP,2,2,2959.67525267601,2150000,1e-05,20,0.1,17,True,43
44,101,28,146,35,212,29,0,1,0,24.18,40.0,new,experiments/results/DP_2_2/ra_feature2_2h/44.onnx,DP,2,2,3028.8302896022797,2200000,1e-05,20,0.1,17,True,44
45,41,28,52,36,161,5,1,1,3,17.62,12.0,new,experiments/results/DP_2_2/ra_feature2_2h/45.onnx,DP,2,2,3097.4585361480713,2250000,1e-05,20,0.1,17,True,45
46,139,43,204,58,228,24,1,2,1,29.62,41.0,new,experiments/results/DP_2_2/ra_feature2_2h/46.onnx,DP,2,2,3166.6016731262207,2300000,1e-05,20,0.1,17,True,46
47,147,43,226,58,300,26,0,2,1,8.67,56.0,new,experiments/results/DP_2_2/ra_feature2_2h/47.onnx,DP,2,2,3235.313401222229,2350000,1e-05,20,0.1,17,True,47
48,57,28,77,35,211,14,1,1,0,19.62,35.0,new,experiments/results/DP_2_2/ra_feature2_2h/48.onnx,DP,2,2,3304.244328737259,2400000,1e-05,20,0.1,17,True,48
49,150,28,215,35,308,26,1,1,3,8.66,68.0,new,experiments/results/DP_2_2/ra_feature2_2h/49.onnx,DP,2,2,3373.931788444519,2450000,1e-05,20,0.1,17,True,49
50,129,34,197,44,271,39,0,2,6,29.7,46.0,new,experiments/results/DP_2_2/ra_feature2_2h/50.onnx,DP,2,2,3443.061232328415,2500000,1e-05,20,0.1,17,True,50
51,128,28,192,35,271,23,0,1,10,26.18,52.0,new,experiments/results/DP_2_2/ra_feature2_2h/51.onnx,DP,2,2,3512.1965646743774,2550000,1e-05,20,0.1,17,True,51
52,118,48,195,76,220,52,0,2,5,28.66,36.0,new,experiments/results/DP_2_2/ra_feature2_2h/52.onnx,DP,2,2,3580.805256843567,2600000,1e-05,20,0.1,17,True,52
53,131,56,210,89,242,45,2,2,9,8.65,41.0,new,experiments/results/DP_2_2/ra_feature2_2h/53.onnx,DP,2,2,3649.403746843338,2650000,1e-05,20,0.1,17,True,53
54,130,43,207,58,223,44,1,1,4,29.62,39.0,new,experiments/results/DP_2_2/ra_feature2_2h/54.onnx,DP,2,2,3718.5327298641205,2700000,1e-05,20,0.1,17,True,54
55,109,31,155,38,203,28,0,1,9,24.66,28.0,new,experiments/results/DP_2_2/ra_feature2_2h/55.onnx,DP,2,2,3787.5059294700623,2750000,1e-05,20,0.1,17,True,55
56,40,25,48,29,157,4,0,5,0,17.62,17.0,new,experiments/results/DP_2_2/ra_feature2_2h/56.onnx,DP,2,2,3856.438628435135,2800000,1e-05,20,0.1,17,True,56
57,91,25,129,29,236,24,0,1,9,22.66,37.0,new,experiments/results/DP_2_2/ra_feature2_2h/57.onnx,DP,2,2,3925.1699216365814,2850000,1e-05,20,0.1,17,True,57
58,114,31,182,42,260,37,0,1,0,28.18,54.0,new,experiments/results/DP_2_2/ra_feature2_2h/58.onnx,DP,2,2,3993.802937746048,2900000,1e-05,20,0.1,17,True,58
59,100,42,136,60,199,22,0,2,0,24.18,37.0,new,experiments/results/DP_2_2/ra_feature2_2h/59.onnx,DP,2,2,4062.189363002777,2950000,1e-05,20,0.1,17,True,59
60,100,43,143,58,196,14,0,1,2,23.62,29.0,new,experiments/results/DP_2_2/ra_feature2_2h/60.onnx,DP,2,2,4130.865482807159,3000000,1e-05,20,0.1,17,True,60
61,56,34,79,44,167,13,0,1,6,19.14,15.0,new,experiments/results/DP_2_2/ra_feature2_2h/61.onnx,DP,2,2,4199.661168336868,3050000,1e-05,20,0.1,17,True,61
62,55,25,70,29,172,5,0,1,5,18.66,17.0,new,experiments/results/DP_2_2/ra_feature2_2h/62.onnx,DP,2,2,4268.528904914856,3100000,1e-05,20,0.1,17,True,62
63,163,51,269,74,268,39,1,1,6,11.68,66.0,new,experiments/results/DP_2_2/ra_feature2_2h/63.onnx,DP,2,2,4337.470244169235,3150000,1e-05,20,0.1,17,True,63
64,154,56,234,86,253,34,1,1,3,10.69,45.0,new,experiments/results/DP_2_2/ra_feature2_2h/64.onnx,DP,2,2,4406.465969800949,3200000,1e-05,20,0.1,17,True,64
65,53,25,64,29,204,4,0,2,5,18.18,21.0,new,experiments/results/DP_2_2/ra_feature2_2h/65.onnx,DP,2,2,4474.827284812927,3250000,1e-05,20,0.1,17,True,65
66,60,25,79,29,182,10,0,1,5,19.14,19.0,new,experiments/results/DP_2_2/ra_feature2_2h/66.onnx,DP,2,2,4542.916922330856,3300000,1e-05,20,0.1,17,True,66
67,52,25,67,29,184,4,1,1,5,18.18,18.0,new,experiments/results/DP_2_2/ra_feature2_2h/67.onnx,DP,2,2,4611.216866493225,3350000,1e-05,20,0.1,17,True,67
