,expanded transitions,synthesis time(ms),OutOfMem,Exception,algorithm,heuristic,problem,n,k,idx
0,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/2.onnx,BW,1,1,2
1,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/3.onnx,BW,1,1,3
2,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/6.onnx,BW,1,1,6
3,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/7.onnx,BW,1,1,7
4,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/8.onnx,BW,1,1,8
5,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/10.onnx,BW,1,1,10
6,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/12.onnx,BW,1,1,12
7,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/13.onnx,BW,1,1,13
8,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/14.onnx,BW,1,1,14
9,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/15.onnx,BW,1,1,15
10,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/16.onnx,BW,1,1,16
11,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/18.onnx,BW,1,1,18
12,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/19.onnx,BW,1,1,19
13,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/20.onnx,BW,1,1,20
14,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/22.onnx,BW,1,1,22
15,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/23.onnx,BW,1,1,23
16,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/24.onnx,BW,1,1,24
17,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/26.onnx,BW,1,1,26
18,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/27.onnx,BW,1,1,27
19,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/30.onnx,BW,1,1,30
20,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/33.onnx,BW,1,1,33
21,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/37.onnx,BW,1,1,37
22,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/40.onnx,BW,1,1,40
23,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/43.onnx,BW,1,1,43
24,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/44.onnx,BW,1,1,44
25,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/45.onnx,BW,1,1,45
26,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/48.onnx,BW,1,1,48
27,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/49.onnx,BW,1,1,49
28,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/50.onnx,BW,1,1,50
29,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/51.onnx,BW,1,1,51
30,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/52.onnx,BW,1,1,52
31,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/54.onnx,BW,1,1,54
32,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/56.onnx,BW,1,1,56
33,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/59.onnx,BW,1,1,59
34,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/60.onnx,BW,1,1,60
35,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/61.onnx,BW,1,1,61
36,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/62.onnx,BW,1,1,62
37,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/63.onnx,BW,1,1,63
38,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/64.onnx,BW,1,1,64
39,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/66.onnx,BW,1,1,66
40,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/68.onnx,BW,1,1,68
41,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/69.onnx,BW,1,1,69
42,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/71.onnx,BW,1,1,71
43,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/73.onnx,BW,1,1,73
44,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/74.onnx,BW,1,1,74
45,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/75.onnx,BW,1,1,75
46,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/76.onnx,BW,1,1,76
47,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/78.onnx,BW,1,1,78
48,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/80.onnx,BW,1,1,80
49,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/83.onnx,BW,1,1,83
50,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/84.onnx,BW,1,1,84
51,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/85.onnx,BW,1,1,85
52,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/86.onnx,BW,1,1,86
53,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/89.onnx,BW,1,1,89
54,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/90.onnx,BW,1,1,90
55,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/91.onnx,BW,1,1,91
56,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/92.onnx,BW,1,1,92
57,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/93.onnx,BW,1,1,93
58,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/94.onnx,BW,1,1,94
59,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/95.onnx,BW,1,1,95
60,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/96.onnx,BW,1,1,96
61,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/97.onnx,BW,1,1,97
62,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/98.onnx,BW,1,1,98
63,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/100.onnx,BW,1,1,100
64,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/101.onnx,BW,1,1,101
65,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/106.onnx,BW,1,1,106
66,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/107.onnx,BW,1,1,107
67,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/108.onnx,BW,1,1,108
68,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/109.onnx,BW,1,1,109
69,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/110.onnx,BW,1,1,110
70,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/111.onnx,BW,1,1,111
71,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/112.onnx,BW,1,1,112
72,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/113.onnx,BW,1,1,113
73,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/118.onnx,BW,1,1,118
74,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/119.onnx,BW,1,1,119
75,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/120.onnx,BW,1,1,120
76,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/121.onnx,BW,1,1,121
77,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/122.onnx,BW,1,1,122
78,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/123.onnx,BW,1,1,123
79,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/125.onnx,BW,1,1,125
80,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/126.onnx,BW,1,1,126
81,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/128.onnx,BW,1,1,128
82,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/130.onnx,BW,1,1,130
83,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/131.onnx,BW,1,1,131
84,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/132.onnx,BW,1,1,132
85,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/134.onnx,BW,1,1,134
86,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/135.onnx,BW,1,1,135
87,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/138.onnx,BW,1,1,138
88,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/141.onnx,BW,1,1,141
89,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/142.onnx,BW,1,1,142
90,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/143.onnx,BW,1,1,143
91,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/144.onnx,BW,1,1,144
92,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/145.onnx,BW,1,1,145
93,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/146.onnx,BW,1,1,146
94,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/148.onnx,BW,1,1,148
95,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/150.onnx,BW,1,1,150
96,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/153.onnx,BW,1,1,153
97,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/156.onnx,BW,1,1,156
98,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/157.onnx,BW,1,1,157
99,,,False,True,new,experiments/results/BW_2_2/pathLabelsSGDNoMomentum/158.onnx,BW,1,1,158
