,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx,Exception
83,344.0,120.0,862.0,206.0,965.0,484.0,0.0,1.0,0.0,66.15,473.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,3,4,1,
84,512.0,124.0,1407.0,215.0,1697.0,794.0,0.0,1.0,0.0,150.42,855.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,3,5,1,
85,728.0,118.0,2162.0,204.0,3232.0,1240.0,0.0,1.0,0.0,50.93,1636.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,3,6,1,
86,,,,,,,,,,,,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,3,7,1,
87,10.0,0.0,9.0,0.0,190.0,0.0,0.0,0.0,1.0,0.0,23.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,4,1,1,
88,22.0,0.0,21.0,0.0,210.0,0.0,0.0,0.0,3.0,0.0,37.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,4,2,1,
89,69.0,0.0,69.0,0.0,243.0,0.0,0.0,0.0,11.0,0.0,64.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,4,3,1,
90,,,,,,,,,,,,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,4,4,1,
91,12.0,0.0,11.0,0.0,207.0,0.0,0.0,0.0,1.0,0.0,33.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,5,1,1,
92,25.0,0.0,24.0,0.0,227.0,0.0,0.0,0.0,3.0,0.0,53.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,5,2,1,
93,55.0,0.0,56.0,0.0,249.0,0.0,0.0,0.0,7.0,0.0,61.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,5,3,1,
94,14.0,0.0,13.0,0.0,203.0,0.0,0.0,0.0,1.0,0.0,32.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,6,1,1,
95,28.0,0.0,27.0,0.0,217.0,0.0,0.0,0.0,3.0,0.0,45.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,6,2,1,
96,84.0,0.0,86.0,0.0,293.0,0.0,0.0,0.0,14.0,0.0,108.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,6,3,1,
