,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),algorithm,heuristic,problem,n,k
0,17,15,20,18,33,4,0,1,2,16.18,new,r,TA,1,1
1,19,17,23,21,48,4,0,1,2,16.18,new,r,TA,1,2
2,21,19,26,24,48,4,0,1,2,16.67,new,r,TA,1,3
3,23,21,29,27,46,5,0,1,2,16.66,new,r,TA,1,4
4,25,23,32,30,60,6,0,1,2,17.15,new,r,TA,1,5
5,94,51,156,70,126,44,0,1,18,25.62,new,r,TA,2,1
6,98,51,160,66,131,40,0,1,17,26.18,new,r,TA,2,2
7,106,57,173,75,144,42,0,1,17,27.62,new,r,TA,2,3
8,114,63,186,84,186,44,0,1,17,29.14,new,r,TA,2,4
9,125,75,206,106,215,50,0,1,17,10.07,new,r,TA,2,5
10,479,171,947,269,952,312,0,1,69,53.07,new,r,TA,3,1
11,532,199,1074,324,887,348,0,1,74,100.02,new,r,TA,3,2
12,867,168,2053,256,1817,774,0,1,178,17.03,new,r,TA,3,3
13,619,253,1221,424,1030,393,0,1,63,17.99,new,r,TA,3,4
14,682,191,1371,275,1259,442,0,1,77,112.32,new,r,TA,3,5
15,2089,476,5017,855,9121,2045,0,1,275,51.15,new,r,TA,4,1
16,2284,563,5235,991,9806,2020,0,1,229,247.44,new,r,TA,4,2
17,2408,666,5469,1200,10640,2142,0,1,223,297.66,new,r,TA,4,3
18,2712,765,6292,1408,15195,2458,0,1,269,272.2,new,r,TA,4,4
19,2906,859,6711,1602,17490,2635,0,1,249,303.89,new,r,TA,4,5
20,8352,548,20783,804,165559,9171,0,1,567,348.69,new,r,TA,5,1
21,9054,654,22665,998,207256,9930,0,1,589,340.85,new,r,TA,5,2
22,9792,1698,24638,3180,240864,10971,0,1,687,352.83,new,r,TA,5,3
23,10391,1958,26179,3740,307805,11751,0,1,659,347.98,new,r,TA,5,4
24,11021,2232,27857,4334,329773,12498,0,1,599,309.85,new,r,TA,5,5
