,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,algorithm,heuristic,problem,n,k
0,17,15,20,18,28,4,0,1,2,16.18,9.0,false,OpenSet RA,r,TA,1,1
1,19,17,23,21,30,4,0,1,2,16.18,10.0,false,OpenSet RA,r,TA,1,2
2,21,19,26,24,32,4,0,1,2,16.66,11.0,false,OpenSet RA,r,TA,1,3
3,23,21,29,27,34,5,0,1,2,16.66,14.0,false,OpenSet RA,r,TA,1,4
4,25,23,32,30,38,6,0,1,2,17.14,12.0,false,OpenSet RA,r,TA,1,5
5,27,25,35,33,39,7,0,1,2,17.16,15.0,false,OpenSet RA,r,TA,1,6
6,29,27,38,36,52,8,0,1,2,17.62,24.0,false,OpenSet RA,r,TA,1,7
7,31,29,41,39,42,9,0,1,2,17.62,15.0,false,OpenSet RA,r,TA,1,8
8,33,31,44,42,44,10,0,1,2,18.18,17.0,false,OpenSet RA,r,TA,1,9
9,35,33,47,45,47,11,0,1,2,18.18,18.0,false,OpenSet RA,r,TA,1,10
10,37,35,50,48,48,12,0,1,2,18.66,21.0,false,OpenSet RA,r,TA,1,11
11,39,37,53,51,50,13,0,1,2,19.14,21.0,false,OpenSet RA,r,TA,1,12
12,41,39,56,54,51,14,0,1,2,19.14,22.0,false,OpenSet RA,r,TA,1,13
13,43,41,59,57,52,15,0,1,2,19.62,22.0,false,OpenSet RA,r,TA,1,14
14,45,43,62,60,57,16,0,1,2,20.18,27.0,false,OpenSet RA,r,TA,1,15
15,94,51,156,70,104,44,0,1,18,24.66,59.0,false,OpenSet RA,r,TA,2,1
16,98,51,160,66,100,40,0,1,17,25.14,63.0,false,OpenSet RA,r,TA,2,2
17,106,57,173,75,134,42,0,1,17,26.66,75.0,false,OpenSet RA,r,TA,2,3
18,118,69,195,97,119,48,0,1,18,28.66,68.0,false,OpenSet RA,r,TA,2,4
19,124,75,204,106,124,50,0,1,16,29.62,71.0,false,OpenSet RA,r,TA,2,5
20,133,81,219,115,140,52,0,1,17,10.19,83.0,false,OpenSet RA,r,TA,2,6
21,144,88,239,126,158,56,0,1,20,12.3,101.0,false,OpenSet RA,r,TA,2,7
22,147,87,240,120,163,55,0,1,17,13.43,88.0,false,OpenSet RA,r,TA,2,8
23,156,99,256,142,159,60,0,1,17,15.52,87.0,false,OpenSet RA,r,TA,2,9
24,164,105,269,151,220,64,0,1,16,17.64,137.0,false,OpenSet RA,r,TA,2,10
25,171,105,279,147,219,64,0,1,17,18.79,122.0,false,OpenSet RA,r,TA,2,11
26,179,111,292,156,214,66,0,1,18,20.92,114.0,false,OpenSet RA,r,TA,2,12
27,197,120,326,173,303,75,0,1,23,27.03,171.0,false,OpenSet RA,r,TA,2,13
28,193,123,314,174,196,73,0,1,15,25.17,101.0,false,OpenSet RA,r,TA,2,14
29,202,129,329,183,220,75,0,1,17,28.3,130.0,false,OpenSet RA,r,TA,2,15
