,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),algorithm,heuristic,problem,n,k
0,17,15,20,18,35,4,0,1,0,17.14,old,r,TA,1,1
1,19,17,23,21,37,5,0,1,0,17.14,old,r,TA,1,2
2,21,19,26,24,48,6,0,1,0,17.62,old,r,TA,1,3
3,23,21,29,27,36,7,0,1,0,17.62,old,r,TA,1,4
4,25,23,32,30,44,8,0,1,0,18.18,old,r,TA,1,5
5,68,40,90,48,95,11,0,1,0,22.18,old,r,TA,2,1
6,75,46,102,57,93,14,0,1,0,23.14,old,r,TA,2,2
7,82,52,113,66,96,17,0,1,0,24.18,old,r,TA,2,3
8,107,58,168,75,129,39,0,1,0,29.14,old,r,TA,2,4
9,98,63,140,83,115,25,0,1,0,27.14,old,r,TA,2,5
10,362,106,691,136,380,219,0,1,0,97.15,old,r,TA,3,1
11,307,104,523,132,291,107,0,1,0,48.25,old,r,TA,3,2
12,330,118,561,153,317,116,0,1,0,58.38,old,r,TA,3,3
13,351,132,597,174,325,122,0,1,0,64.51,old,r,TA,3,4
14,486,184,914,263,607,282,0,1,0,37.7,old,r,TA,3,5
15,1609,252,3556,351,3551,1362,0,1,0,204.95,old,r,TA,4,1
16,1614,286,3493,407,2929,1279,0,1,0,171.18,old,r,TA,4,2
17,1798,344,3927,511,4535,1495,0,1,0,139.91,old,r,TA,4,3
18,1487,314,2995,438,2070,872,0,1,0,160.48,old,r,TA,4,4
19,1559,350,3135,495,2275,930,0,1,0,93.36,old,r,TA,4,5
20,6510,518,15593,742,56385,6470,0,1,0,329.67,old,r,TA,5,1
21,7096,636,17139,967,71088,7398,0,1,0,342.5,old,r,TA,5,2
22,7617,943,18330,1585,111077,7924,0,1,0,341.2,old,r,TA,5,3
23,7906,1138,19166,1989,178633,8514,0,1,0,348.86,old,r,TA,5,4
24,7543,948,17956,1509,88572,7660,0,1,0,347.37,old,r,TA,5,5
